time,x,y
1,3596.8,3
2,3608.29,3
3,3595.82,3
4,3563.51,3
5,3592.73,3
6,3574.8,3
7,3560.1,3
8,3576.18,3
9,3612.55,3
10,3626.97,3
11,3671.8,2
12,3660.19,2
13,3676.38,2
14,3695.6,2
15,3693.36,2
16,3675.72,2
17,3697.42,2
18,3706.79,0
19,3662.3,1
20,3638.44,1
21,3665.02,1
22,3638.21,1
23,3607.57,3
24,3610.31,3
25,3624.72,3
26,3663.73,3
27,3668.45,3
28,3677.85,3
29,3681.56,3
30,3649.34,3
31,3703.82,2
32,3709.02,2
33,3759.32,0
34,3733.28,1
35,3731.15,1
36,3683.44,3
37,3702.63,3
38,3714.49,2
39,3725.44,2
40,3748.87,2
41,3785.36,0
42,3758.51,0
43,3776.94,0
44,3761.11,0
45,3781.38,0
46,3737.03,0
47,3758.09,0
48,3646.43,0
49,3661.78,0
50,3573.84,3
51,3588.04,2
52,3656.04,0
53,3589.98,0
54,3613.28,0
55,3539.22,1
56,3539.91,1
57,3518.45,3
58,3570.4,3
59,3592.39,3
60,3634.18,3
61,3620.1,3
62,3625.23,3
63,3669.98,3
64,3739.91,2
65,3781.2,2
66,3746.11,2
67,3734.56,3
68,3740.11,2
69,3774.69,2
70,3731.43,3
71,3722.76,3
72,3751.59,2
73,3743.43,2
74,3773.43,2
75,3743.15,2
76,3785.55,2
77,3811.43,0
78,3785.55,0
79,3782.09,0
80,3722.59,0
81,3689.39,0
82,3674.28,0
83,3705.48,0
84,3700.79,0
85,3729.38,0
86,3655.14,0
87,3653.18,0
88,3553.35,1
89,3606.41,1
90,3564.34,1
91,3614.24,1
92,3603.26,1
93,3553.02,3
94,3569.14,3
95,3643.32,3
96,3609.97,3
97,3607.02,3
98,3628.82,3
99,3610.53,3
100,3659.92,2
101,3679.37,2
102,3652.03,2
103,3624.47,3
104,3646.23,3
105,3654.37,2
106,3698.87,2
107,3722.23,2
108,3723.46,0
109,3699.29,1
110,3711.38,1
111,3647.1,3
112,3683.43,3
113,3714.5,2
114,3718.08,2
115,3740.9,2
116,3740.28,2
117,3700.32,2
118,3720.14,2
119,3755.75,2
120,3742.38,2
121,3771.58,0
122,3756.48,0
123,3732.99,0
124,3716.2,0
125,3685.06,0
126,3660.68,0
127,3660.4,0
128,3670.41,0
129,3668.48,0
130,3651.63,0
131,3656.18,0
132,3648.75,0
133,3610.55,0
134,3610.4,0
135,3592.63,1
136,3607.39,0
137,3637.47,0
138,3572.84,1
139,3567.29,1
140,3532.61,3
141,3565.1,3
142,3575.92,3
143,3643.79,2
144,3647.1,2
145,3623.79,2
146,3650.8,0
147,3607.58,0
148,3622.98,0
149,3528.64,1
150,3497.3,1
151,3533.06,1
152,3502.95,1
153,3494.23,1
154,3484.84,3
155,3516.68,3
156,3533.13,3
157,3541.48,3
158,3544.42,3
159,3538.02,3
160,3589.69,3
161,3594.38,3
162,3595.26,3
163,3629.84,3
164,3649.24,3
165,3636.71,3
166,3594.28,3
167,3613.23,3
168,3633.38,3
169,3665.94,2
170,3682.14,2
171,3677.55,2
172,3652.02,3
173,3677.61,2
174,3725.4,2
175,3708.03,2
176,3691.85,2
177,3691.68,2
178,3726.22,2
179,3703.69,2
180,3731.14,0
181,3692.11,1
182,3653.1,1
183,3673.51,1
184,3656.93,1
185,3667.47,1
186,3682.67,1
187,3640.61,3
188,3730.16,2
189,3767.06,2
190,3770.24,0
191,3764.59,0
192,3758.7,0
193,3737.87,0
194,3727.64,0
195,3688.73,0
196,3694.32,0
197,3664.95,1
198,3670.76,1
199,3659.81,1
200,3700.56,0
201,3665.68,1
202,3687.53,0
203,3687.17,0
204,3609.06,3
205,3619.48,3
206,3678.39,3
207,3721.82,3
208,3706.82,3
209,3734.07,3
210,3765.84,3
211,3769.93,2
212,3762.45,3
213,3780.99,2
214,3776.99,2
215,3769.94,2
216,3784.91,2
217,3833.79,2
218,3835.11,2
219,3820.97,2
220,3794.27,2
221,3844.14,0
222,3830.39,0
223,3798.78,1
224,3774.25,1
225,3780.09,1
226,3760.7,1
227,3782.2,1
228,3780.61,1
229,3753.75,1
230,3796.71,1
231,3811.45,1
232,3783.51,1
233,3767.39,1
234,3787.45,1
235,3775.04,1
236,3747.46,1
237,3768.42,1
238,3805.94,1
239,3814.39,1
240,3802.99,1
241,3810.67,1
242,3744.92,3
243,3764.04,3
244,3770.03,3
245,3806.15,3
246,3819.68,3
247,3817.69,3
248,3824.83,3
249,3827.16,3
250,3827.95,3
251,3821.16,3
252,3855.68,3
253,3863.3,3
254,3829.36,3
255,3856.48,3
256,3877.96,3
257,3877.82,3
258,3848.99,3
259,3816.14,3
260,3834.11,3
261,3854.6,3
262,3875.02,3
263,3869.01,3
264,3842.44,3
265,3854.19,3
266,3848.71,3
267,3882.04,3
268,3879.82,3
269,3891.4,3
270,3870.35,3
271,3913.69,3
272,3939.18,3
273,3951.72,3
274,3928.94,3
275,3958.01,3
276,3981.9,3
277,3980.77,3
278,3969.62,3
279,3970.37,3
280,4016.75,3
281,4012.11,3
282,4030.45,2
283,4009.02,3
284,4005.5,3
285,4029.02,2
286,4002.33,3
287,3977.19,3
288,3977.67,3
289,4034.57,2
290,4027.16,2
291,4054.98,2
292,4062.72,2
293,4061.35,2
294,4091.58,2
295,4108,0
296,4085.38,1
297,4066.69,1
298,4038.21,1
299,4049.18,1
300,4048.55,1
301,4077.74,1
302,4019.4,3
303,4032.07,3
304,4050.77,2
305,4033,3
306,4047.18,2
307,4032.41,3
308,4078.31,2
309,4081.65,2
310,4064.61,2
311,4067.78,2
312,4080.08,2
313,4052.32,2
314,4087.94,2
315,4106.99,2
316,4124.37,0
317,4124.29,0
318,4117.62,0
319,4096.81,0
320,4116.85,0
321,4111.11,0
322,4032.28,0
323,3949.59,1
324,3962.39,1
325,3950.02,1
326,3951.02,1
327,3980.18,1
328,3993.07,0
329,3993.04,0
330,3927.68,1
331,3911.45,3
332,3911.71,3
333,3938.77,3
334,3955.93,3
335,3987.63,3
336,4019.35,3
337,4033.46,3
338,4020.19,3
339,4000.25,3
340,3979.53,3
341,4015.65,3
342,4017.89,3
343,4010.98,3
344,4006.19,3
345,4073.15,3
346,4085.98,3
347,4096.18,3
348,4118.37,3
349,4102.06,3
350,4100.27,3
351,4137.28,3
352,4131.83,3
353,4120.73,3
354,4178.25,3
355,4183.72,3
356,4162.47,3
357,4146.47,3
358,4180.74,3
359,4171.35,3
360,4153.71,3
361,4184.1,3
362,4203.49,3
363,4197.74,3
364,4184.36,3
365,4185.15,3
366,4220.91,3
367,4193.4,3
368,4222.02,3
369,4229.55,3
370,4240.18,3
371,4199.87,3
372,4157.68,3
373,4194.33,3
374,4231.88,3
375,4229.35,3
376,4269.62,3
377,4252.75,3
378,4279.95,3
379,4220.62,3
380,4300.31,3
381,4321.56,3
382,4313.78,3
383,4343.62,3
384,4370.88,3
385,4373.77,3
386,4363.47,3
387,4424.25,3
388,4418.39,3
389,4425.66,3
390,4415.52,3
391,4422.12,3
392,4420.78,3
393,4433.13,3
394,4462.26,2
395,4451.74,2
396,4456.87,2
397,4503.33,2
398,4495.48,2
399,4458.97,2
400,4421.7,3
401,4441.01,2
402,4491.69,2
403,4527.11,0
404,4509.1,0
405,4476.48,0
406,4466.58,0
407,4444.57,0
408,4439.63,0
409,4430.07,0
410,4487.9,0
411,4485.94,0
412,4436.56,0
413,4424.43,1
414,4378.51,1
415,4342.7,3
416,4361.27,3
417,4356.66,3
418,4399.36,3
419,4424.15,3
420,4404.95,3
421,4472.55,3
422,4486.19,3
423,4465.94,3
424,4491.68,3
425,4491.82,3
426,4453.41,3
427,4470.43,3
428,4479.39,3
429,4509.49,3
430,4505.68,3
431,4531.8,3
432,4468.06,3
433,4448.15,3
434,4477.2,3
435,4566.92,2
436,4546.8,3
437,4599.63,2
438,4578.86,2
439,4600.02,2
440,4622.54,2
441,4650.24,0
442,4594.11,0
443,4536.9,0
444,4528.79,0
445,4536.22,0
446,4549.68,0
447,4515.05,0
448,4470.13,0
449,4482.13,0
450,4489.21,0
451,4461.14,0
452,4375.09,1
453,4390.66,1
454,4366.52,1
455,4421.97,0
456,4396.99,1
457,4412.7,1
458,4336.41,1
459,4326.71,3
460,4436.45,3
461,4434.75,3
462,4429.65,3
463,4502.02,3
464,4498.7,3
465,4503.65,3
466,4503.62,3
467,4480.23,3
